display  D   display_settings.c:527  _al_score_display_settings       [   0.14604] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.14612] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14624] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.14632] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.14643] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.14652] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14663] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14674] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14695] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14706] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14715] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14726] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14735] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14746] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14755] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14767] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14776] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14787] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14796] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14807] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14816] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14828] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14837] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14848] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14857] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14868] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14877] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14889] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14897] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14909] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14918] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14929] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14938] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14949] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14958] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14980] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.14992] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15001] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15012] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15021] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15032] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15041] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15053] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15062] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15075] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15084] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15104] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15116] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15125] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.15136] Single Buffer requirement not met.
